col0,col1,col2,col3,col4,col5,col6,col7
0.029169466,0.018142221,0.025001058,0.008189534,0.0190718,0.002057318,0.00821357,0.0050151586
0.02917894,0.018148184,0.025001384,0.008189724,0.019076832,0.002067822,0.008213736,0.0050153476
0.029189533,0.018156406,0.025001546,0.008189891,0.019079914,0.0020671338,0.008213762,0.005015339
0.02923084,0.018165829,0.025002237,0.0081900535,0.019089906,0.0020700465,0.008213928,0.005015393
0.029325092,0.018188998,0.025003888,0.008190465,0.019112308,0.0020849782,0.008214322,0.0050156624
0.029503148,0.018232033,0.025006855,0.008191172,0.019154314,0.0021192415,0.008215011,0.005016247
0.02979968,0.018303512,0.025011806,0.008192365,0.019224042,0.0021815873,0.008216163,0.0050173122
0.030250693,0.018412106,0.025019355,0.00819419,0.019329855,0.0022807429,0.008217922,0.0050190003
0.03089286,0.018566456,0.025030019,0.008196757,0.019480247,0.0024258706,0.008220395,0.0050214496
0.03176292,0.018776383,0.025044411,0.00820024,0.019683903,0.002626161,0.008223729,0.005024815
0.032895215,0.019049946,0.025063071,0.008204773,0.019948844,0.002889819,0.008228044,0.0050292276
0.034322023,0.01939423,0.02508647,0.0082104495,0.020282185,0.0032239535,0.008233441,0.0050347946
0.036068313,0.019817347,0.025115138,0.008217444,0.020690793,0.0036360421,0.008240071,0.005041648
0.03816042,0.020323254,0.025149258,0.008225734,0.021179581,0.004130219,0.008247931,0.0050498215
0.040608294,0.02091709,0.025189165,0.0082354825,0.021752117,0.0047109523,0.008257143,0.0050594076
0.043419745,0.021606283,0.02523484,0.0082468325,0.022413934,0.0053842356,0.008267738,0.005070509
0.046603624,0.022372363,0.025286559,0.00825936,0.02315128,0.0061353873,0.008279585,0.005082844
0.05014231,0.02323592,0.02534384,0.008273481,0.023982715,0.0069820844,0.008292866,0.0050967108
0.054021306,0.024179252,0.025406456,0.008288888,0.024889529,0.007907644,0.008307318,0.0051118284
0.058227014,0.025204152,0.025474232,0.008305608,0.025874116,0.008912339,0.008322995,0.0051281992
0.06272634,0.026296474,0.025546616,0.008323394,0.026922822,0.00998332,0.00833968,0.0051455945
0.06747915,0.027454441,0.025622876,0.008342221,0.028037932,0.011120384,0.00835738,0.005164012
0.07244378,0.028665645,0.025702326,0.008361879,0.02920197,0.012308719,0.008375815,0.0051832013
0.07757971,0.029915182,0.02578432,0.008382123,0.030400328,0.013533054,0.008394762,0.0052029137
0.08282299,0.03119252,0.025867876,0.008402795,0.031628836,0.0147869745,0.008414167,0.005223045
0.08812536,0.032483708,0.025952172,0.008423653,0.032870196,0.016054213,0.008433741,0.005243327
0.09342835,0.03377556,0.026036233,0.008444474,0.034112487,0.017322222,0.008453287,0.0052635567
0.09867486,0.035054248,0.026119273,0.008465084,0.03534098,0.018576475,0.008472607,0.0052835154
0.10380678,0.036303636,0.026200265,0.008485174,0.036541313,0.019801846,0.008491437,0.005302947
0.10876795,0.037514042,0.026278378,0.008504592,0.037707534,0.020990781,0.008509715,0.0053217458
0.11350528,0.038669128,0.026352772,0.008523144,0.038809415,0.02211833,0.008526925,0.0053395196
0.117960855,0.03975278,0.026422508,0.008540421,0.039853424,0.023181502,0.008543195,0.005356191
0.122089624,0.04075926,0.026486976,0.008556467,0.04082698,0.024170566,0.008558364,0.0053716665
0.12585205,0.04167804,0.026545485,0.008571119,0.041697536,0.025061857,0.008571819,0.0053855493
0.12919238,0.042487785,0.02659729,0.008583921,0.042483363,0.025856435,0.008583983,0.005397853
0.13207753,0.043187276,0.026641829,0.008594959,0.043157794,0.02653789,0.008594357,0.0054083387
0.13447326,0.04376168,0.026678614,0.008603905,0.04371755,0.02709843,0.008602916,0.0054168706
0.13634764,0.04419792,0.026707223,0.008610564,0.044156775,0.027529152,0.008609591,0.005423324
0.13767765,0.04448169,0.026727391,0.008614614,0.044467386,0.027819892,0.008614267,0.005427521
0.13844222,0.04458515,0.026738938,0.0086154165,0.044646457,0.027958792,0.008616933,0.005429234
0.13809656,0.044262648,0.026731918,0.008607181,0.044712443,0.027787738,0.008618358,0.0054250807
0.1372416,0.043993853,0.026716962,0.008601908,0.044531424,0.027517904,0.008615318,0.005420105
0.13562968,0.043588184,0.026690112,0.008594935,0.044152874,0.02708873,0.008609057,0.005412845
0.13321859,0.042994715,0.026650691,0.008584981,0.043584414,0.026466552,0.008599777,0.0054025594
0.13004112,0.0422141,0.026599253,0.008572048,0.04283771,0.025659507,0.008587708,0.005389387
0.12613522,0.041266628,0.02653651,0.008556556,0.04191786,0.024677685,0.008572947,0.0053734886
0.12154526,0.040150113,0.026462974,0.008538321,0.04083957,0.023532635,0.008555701,0.0053550205
0.11632165,0.038884632,0.02637949,0.008517766,0.039611533,0.022237355,0.008536103,0.005334201
0.110525034,0.037480965,0.026286976,0.008494984,0.038249955,0.020807968,0.008514425,0.0053112637
