q1_bar,q2_bar,q1_dot_bar,q2_dot_bar,u1_bar,u2_bar
0.0,0.0,-2.402933154158939e-38,0.0,0.0029655732874375746,-0.0011498071813440469
-0.0006700280743705031,-2.172129097644204e-05,-0.054018439419881034,-0.0010286987059521394,-0.009618808332170036,-0.0007596804298963522
-0.002721731940683565,-1.5984708540656873e-05,-0.11053406164614896,0.0021966298664705766,-0.0019730716009001923,-0.0010502492110878005
-0.006193125264739229,1.3801107219481534e-05,-0.16654861126016451,0.0003946704600715455,-0.010679800626728134,-0.00084140804134385
-0.011017723854530854,1.4170575806646467e-05,-0.21879049523185826,-0.00015667780934493426,-0.0026844993780197174,-0.0013210982551499308
-0.01717567419840644,1.0892984121940749e-05,-0.2729525787145555,3.838082170479123e-05,-0.012034092309286098,-0.0011640134751997114
-0.02462070701082247,2.3285135502840832e-05,-0.3217570661553725,0.00109690159861649,-0.003786919325552211,-0.0014182796467443637
-0.03333606271571112,2.9834722465150915e-05,-0.3741459107534735,-0.00012119682267990019,-0.014080393408357317,-0.001673965412399951
-0.04326173244564187,3.981219080875089e-05,-0.41858213446584513,0.0013711321167637755,-0.0051543177939761325,-0.0016166164003505775
-0.054372742152265,4.6748887074414155e-05,-0.4686970383517156,-0.0002543217787402632,-0.016786265692154034,-0.0023525998685168235
-0.06661649813081348,5.518983891814119e-05,-0.5092014927691524,0.00149147256903492,-0.006884351739283218,-0.0018930251732232164
-0.07997751294853937,6.179379466812161e-05,-0.5576973814126853,-0.0003323534301510866,-0.020136398059188265,-0.003192566772473448
-0.09440223733159944,7.011229905645403e-05,-0.5942977066539867,0.0016286363766044973,-0.008893859452171839,-0.002211506288578203
-0.10986255279344372,7.635826703171236e-05,-0.640376517455563,-0.0004251700414526502,-0.02404571594802703,-0.004174527639952327
-0.1263135172799446,8.404325348267717e-05,-0.6735498752646315,0.0017437579923359127,-0.01126186196641131,-0.0026032981242430334
-0.14373315908059286,9.000251113793041e-05,-0.7175709775768926,-0.0004985828941853597,-0.028470660108412527,-0.005284624700233154
-0.1620695699833968,9.753583024021776e-05,-0.7468920867097998,0.0018696830661853495,-0.013876209998380995,-0.0030334743392484904
-0.18129860659641392,0.00010536853176776312,-0.788719554206014,-0.00045061054897595145,-0.033380174744659465,-0.006507959905452894
-0.20137002216712854,0.00011462812472379341,-0.8142837206793097,0.00198383424905819,-0.016719726532189446,-0.0035042753325426074
-0.22225991190420563,0.00012179039689013939,-0.8539928248827429,-0.000554366223776932,-0.03873214112913349,-0.007856399948060857
-0.24392397261009968,0.00012973413647823697,-0.8762186007710139,0.002046351663691259,-0.019769033701964638,-0.004013167655362558
-0.2663303383480584,0.00013702469160090103,-0.9132467810113847,-0.0005497921376835748,-0.044415305596963585,-0.00927743127715258
-0.2894341789683007,0.00014791027640825524,-0.9320193221142083,0.0023339535786937354,-0.02301461532714278,-0.0045412287933426
-0.31320746905561647,0.0001571878016153262,-0.9666378986718819,-0.000624506979181371,-0.050414500165598425,-0.010788413642637535
-0.3376058145846418,0.00016504715221910685,-0.9820242053702009,0.002220499421599895,-0.02638267164622795,-0.005116403659454779
-0.3625967010494059,0.00015697112174657083,-1.0141221349164802,-0.0015822871954526768,-0.05667364269684184,-0.01243794331234945
-0.38815570541149486,0.00015014751531912371,-1.0274729159327678,0.0023206935648761146,-0.029906417646970933,-0.0056944117832420146
-0.41423528922865666,0.00017642730635877304,-1.055683905884441,0.00041939484582913066,-0.06292946922479252,-0.01384079450152692
-0.44077936999993006,0.0002030025314869417,-1.0646318701702184,0.002344328434376437,-0.03360286998502888,-0.006359395787956498
-0.4677730033223001,0.00020257502725898053,-1.091384464512021,-0.0013646286730464305,-0.06944174487844469,-0.015615344300209121
-0.4951748738924208,0.00018546610101414027,-1.097289839873485,0.0010098145863350757,-0.03712883850174336,-0.007049245199838287
-0.5229345397544952,0.00019028753212327755,-1.120299430350277,9.677476219348478e-05,-0.07586598142106186,-0.017091499726299145
-0.5510306296399445,0.0002263485940748949,-1.1242022233899134,0.003508985336731837,-0.04085024521323744,-0.007532147600704915
-0.5794351443865722,0.00025350570293304457,-1.1447789214347293,-0.00029795474697431255,-0.08230678538603323,-0.01874761296696016
-0.6081006212948686,0.00026337397326154114,-1.1450815479655199,0.002125878799770219,-0.044330920115537284,-0.008212166878311375
-0.6369897535958297,0.0002608631519692918,-1.162527096858281,-0.0012042437993968382,-0.0886109746525959,-0.0203964693512454
-0.6660509391028586,0.00025928684024128666,-1.1588457802916758,0.0022006414177350325,-0.04758136198763851,-0.008720021123185675
-0.695260808591798,0.00028159528249141014,-1.174508240662448,0.00022138599965717656,-0.09490043946969534,-0.021873416646109953
-0.7246045755791775,0.00030222380173093686,-1.1695571764288932,0.0020662488605496993,-0.050777430164085986,-0.00926873130818869
-0.7540186662666891,0.0003150264514960088,-1.1804691767301279,-0.00015855165390232703,-0.10073857343881584,-0.023356650534631346
-0.7834729786537501,0.000338470522391132,-1.1727769608798266,0.0029175640107679817,-0.05387815210389003,-0.009721245111759976
-0.8129286260408264,0.0003664425869593286,-1.1806487612793175,0.00010577013472098895,-0.10635865839338567,-0.024753508552747275
-0.842354137475008,0.0003830374992688177,-1.1703638944940573,0.002007393477528528,-0.0567542594687613,-0.010261405687980209
-0.8717041747819602,0.0003960907678604265,-1.1747786399903997,-0.00028631149384223607,-0.11159789487522177,-0.026095495350930628
-0.9009499649964358,0.00040256300223305124,-1.1620208648373767,0.0014809120969928866,-0.05942042174129616,-0.010741192036684121
-0.9300223285487234,0.0004185351628546364,-1.161573330903946,0.0003151621360510107,-0.11636536234545078,-0.0272305052911146
-0.9589188056031908,0.0004442362165418603,-1.1479483747872319,0.002259224014840874,-0.062132872333848226,-0.011176632188900448
-0.9876152938849545,0.0004507786612496694,-1.145302680799534,-0.000799266619973917,-0.12074380747740786,-0.02841847240199243
-1.0160606168460222,0.00045110097081267186,-1.1278572155816575,0.0017616134432181204,-0.06424717118799707,-0.011525114809028073
-1.044206135627302,0.0004639517476999746,-1.1215630719989458,-0.00012631265938580283,-0.12473686581142585,-0.029371568280508117
-1.0720276094435042,0.00047514724686256846,-1.1019316771776957,0.0016291903331346056,-0.06616860956228236,-0.011836067256285924
-1.0994769950599963,0.00048706924656324456,-1.0920116267454465,-0.00012920749480134177,-0.12825619502271535,-0.030255074206663412
-1.1265278293433743,0.0004959979972892594,-1.0700459132353108,0.0013897306721607952,-0.06782793607094377,-0.012108553643787193
-1.1531328338509055,0.0005005620191793646,-1.0565646277516791,-0.0004345995208528362,-0.13132333093853907,-0.031049794768258452
-1.179266843757239,0.0005037685452431758,-1.032372519166122,0.0012811332467618946,-0.06921345765977516,-0.012314558247707896
-1.204880459581834,0.0005133777164022731,-1.015165035448764,-4.398036044834743e-05,-0.13392567112798773,-0.03167235928212912
-1.229947246757801,0.0005249905543722245,-0.9886208909550092,0.0014414264905475884,-0.0703695276554316,-0.012465689375133674
-1.2544161459394152,0.000539447226794351,-0.9676347067051617,4.036083836323972e-05,-0.13609591684274042,-0.03221267215679764
-1.2782662278445014,0.0005432712359186592,-0.939116658998814,0.0005908135529782457,-0.07135889712414582,-0.012680776680865813
-1.301448103274914,0.0005475823251350998,-0.9144118744443637,0.00013124417816609888,-0.13779165539076801,-0.03261772291997253
-1.3239356987491497,0.0005686920000579638,-0.8835724853851222,0.0019347010479336488,-0.07213350415091224,-0.012683770553658085
-1.3456869890854415,0.000587976924682619,-0.8555880214853329,0.00014270394042600418,-0.13917448505799923,-0.032972482509133684
-1.366667947507156,0.0006025577282465416,-0.8219476017899242,0.0015583696954534938,-0.07261926197855503,-0.012743578841544853
-1.3868327934995723,0.0006101637030058814,-0.7905195052741527,-0.00048715538029497603,-0.140240303796151,-0.033299021294889146
-1.4061579527361214,0.0006013367574926778,-0.7547711278716462,0.00024373412892983437,-0.07297268894762236,-0.012861899999633199
-1.4245699635072204,0.000611502369119493,-0.7181558906884844,0.0007292661680217288,-0.14083780663503281,-0.03333273942741488
-1.4420642297538449,0.0006457874843743892,-0.6813548128319322,0.0021732899603229727,-0.0735341083135255,-0.012834060129624637
-1.458619574341478,0.0006677599255134411,-0.6427452236929527,0.00011217770456066278,-0.14125571508259527,-0.033492600245601904
-1.4741846827775056,0.0006777800219079946,-0.6021271953006736,0.00121710312481978,-0.07366634096065158,-0.012885761075767483
-1.4887154573239643,0.0006905030088422238,-0.5601270550685141,0.00016399200786138216,-0.14148376076543662,-0.03354385241380517
-1.5021812358041842,0.0007041424524089897,-0.5169427129215518,0.0012904198059242927,-0.07375127512553335,-0.012866933237960032
-1.5145326476146943,0.0007263758109695235,-0.4712525304330144,0.0006997865334867031,-0.14152385844244758,-0.03350835356829338
-1.525747949415007,0.0007497085824953833,-0.4260513051616165,0.0013783680295776975,-0.07390255294054653,-0.012887970471543532
-1.5357752218219733,0.0007671131024736697,-0.37651114446456746,0.0003225710544888504,-0.14137665593037269,-0.033494440321361015
-1.5445926084939374,0.0007812658150871696,-0.32926766564676135,0.0011182188398429365,-0.07411905040472605,-0.012960938686762156
-1.5521462954999008,0.0007974378194391043,-0.2757842049301697,0.00040658531348314086,-0.14106305101732275,-0.03339877465582369
-1.5584198751731355,0.0008131473772031996,-0.2268621863290725,0.0010812258317681996,-0.07449340687214695,-0.013082641779747287
-1.5633544971266713,0.0008335035866090263,-0.16906608730725797,0.000664559851460791,-0.14053938337715305,-0.03323608631160979
-1.5669308223848126,0.0008522398120811507,-0.11819373105316804,0.0009516283675734019,-0.07500475661206506,-0.013290158856394828
-1.5691140261411738,0.0008946574526601272,-0.054751672676368476,0.0020730572781460514,-0.13923805775046627,-0.03282376904409401
-1.569582890478299,0.000937456523499336,0.01895337281175219,0.0009821471673531344,-0.06626897725947431,-0.013020579532409713
-1.5683642963050428,0.0009363425320639067,0.08016835696622063,-0.0005280125432793668,-0.13123258694320908,-0.033235363968276456
