q1_bar,q2_bar,q1_dot_bar,q2_dot_bar,u1_bar,u2_bar
-3.8964643325484463e-26,1.7124152954564413e-24,0.0,0.0,0.00935782740331632,0.001763210947108676
0.004151778336960954,-0.00028209517521222727,0.294908415089246,-0.008817403278088167,0.013027104235260139,0.004908627017623164
0.012883727744688166,0.0002466404143007712,0.3664136919237386,0.06486646140574859,-0.010552796337622922,-0.0037677176358032497
0.01941808402376076,0.0007862332835557157,0.1736672134581418,-0.008044056167374565,-0.011403827769627816,-0.0036594318159015333
0.022433709082656763,0.0005271865106664859,0.08491518256473922,0.0009752923777524793,0.0005207956555442345,0.0006513897512740005
0.02462578637224055,0.0004791643796031061,0.08296837307500726,-0.001642836292748119,-0.005106431235216345,-0.00153455545184475
0.02620799723995978,0.0006037559993194391,0.0361259256297388,0.014784389367187283,-0.00354489857017412,-0.00044658852829510204
0.02782463012636804,0.0012089127807323528,0.09326527899192684,0.0372725981276651,0.0015638007759099471,0.00072418030364544
0.03087429875455541,0.002649607423389223,0.15076902332896602,0.08162739907508113,-0.0034513231582122515,-0.00020501428510595306
0.03395859277361331,0.004544516781216835,0.09950070335148718,0.0722721425923741,-0.007698649470616868,-0.0025929700260278413
0.036025645473353574,0.006378555758452687,0.06938973578498536,0.07675779381435997,-0.0017579668536755154,0.0004518401537855774
0.03791939342284346,0.008555638886304137,0.07823380944654713,0.09483354136802467,-0.0052613396351249495,-0.0017491317189675597
0.03974351657934788,0.01099146607510717,0.06381970884501154,0.09745720703973157,-0.004957982778709313,-0.0007706195828116914
0.041011553013839436,0.013580661194981395,0.041573253560477356,0.1084686774609425,-0.006199111995030217,-0.0020815048946013874
0.0420196786951498,0.016354413377755717,0.04302648291729133,0.11222167491967584,-0.0033727603216021527,-0.0004030313628718531
0.04291251944710259,0.019380163855403268,0.029104512241993674,0.12709609724231272,-0.0071690237831948354,-0.00243284425924837
0.04351008215509263,0.022572100888160473,0.019403960410622742,0.1255164980934462,-0.0038179063762335715,-0.0007988286755500952
0.043894615166755,0.02593010398577848,0.01118755229786329,0.14056989434498482,-0.007064882843207377,-0.002432195268169004
0.04406089332963566,0.02947290596164162,0.0019434239735344825,0.14030042235864276,-0.004628964986568626,-0.001324291571865463
0.04398861511249376,0.03312938605500239,-0.007428634922874836,0.15098149938951008,-0.00711101137215628,-0.002529933840608063
