col0,col1,col2,col3,col4,col5,col6,col7
0.029684767,0.01830922,0.025114723,0.008229123,0.019252937,0.0021170343,0.008253542,0.005029138
0.02970397,0.018335318,0.025115138,0.008229724,0.01926039,0.0021352074,0.008253648,0.0050295605
0.029715592,0.018343283,0.025115287,0.008229884,0.01926399,0.0021444696,0.008253695,0.005029674
0.029719837,0.018330812,0.02511532,0.008229573,0.019264678,0.0021375418,0.008253723,0.0050295237
0.029741304,0.018343048,0.025115622,0.008229862,0.01927343,0.0021446329,0.008253749,0.0050296667
0.029756151,0.018344864,0.025115773,0.0082298145,0.019279944,0.0021484736,0.008253832,0.005029723
0.029773163,0.018323159,0.025115807,0.008229162,0.01928681,0.0021417404,0.0082539115,0.005029573
0.029787548,0.018329658,0.02511566,0.008229102,0.019295922,0.0021524222,0.008253872,0.0050297766
0.029798694,0.018321421,0.025115121,0.008228448,0.01930367,0.0021571815,0.0082537765,0.0050298446
0.029807476,0.018307414,0.025114188,0.008227499,0.019311283,0.0021612009,0.008253552,0.005029908
0.029812539,0.01829566,0.025112845,0.008226364,0.019318843,0.0021690978,0.008253156,0.005030034
0.029813845,0.018285299,0.025110932,0.00822501,0.01932614,0.0021804012,0.008252515,0.0050302185
0.029810281,0.018275445,0.02510849,0.008223421,0.019332401,0.0021941825,0.008251636,0.005030453
0.029801954,0.018265586,0.025105339,0.008221509,0.01933721,0.0022098352,0.008250441,0.0050307065
0.029789528,0.0182571,0.025101596,0.00821937,0.019340577,0.002228004,0.008248949,0.005031016
0.02977248,0.018247783,0.025097206,0.008216882,0.019341432,0.002247072,0.008247164,0.0050313408
0.029752687,0.018229684,0.02509214,0.008213838,0.019339174,0.002263033,0.0082451105,0.005031609
0.029732386,0.01820342,0.025086455,0.008210249,0.019334335,0.002277051,0.008242783,0.005031833
0.02971266,0.018176584,0.02508025,0.008206419,0.019328024,0.0022945495,0.00824014,0.005032135
0.02969355,0.018162739,0.025073387,0.008202597,0.019321699,0.002323673,0.008237027,0.0050326134
0.0296748,0.01817618,0.025065925,0.008199278,0.019316845,0.002372236,0.008233366,0.0050334428
0.029654419,0.018219186,0.02505787,0.008196458,0.019312568,0.002440171,0.008229197,0.005034618
0.029638201,0.018243099,0.02504925,0.008192729,0.01930485,0.0025012314,0.00822494,0.0050356663
0.02963369,0.018197745,0.025040314,0.008186947,0.01929234,0.002531664,0.008220883,0.00503618
0.029632514,0.018161293,0.025030876,0.008181359,0.019282427,0.0025733635,0.008216281,0.0050368863
0.029627692,0.018186916,0.025020799,0.008177121,0.019276677,0.0026515669,0.008210972,0.005038225
0.029630609,0.018182768,0.025010336,0.0081716785,0.019268217,0.0027183676,0.008205776,0.005039358
0.029643321,0.018126434,0.02499958,0.008164794,0.01925861,0.0027651333,0.008200579,0.0050401352
0.029644897,0.018173395,0.024988106,0.008160653,0.01925745,0.0028711099,0.008194229,0.0050419546
0.029652836,0.018240534,0.024976552,0.008156058,0.019253138,0.0029885322,0.008188373,0.0050439415
0.029698862,0.01804355,0.02496542,0.008144735,0.019236155,0.0029817964,0.008184164,0.005043821
0.02970695,0.018162351,0.024953509,0.008142478,0.01924624,0.0031456507,0.008176893,0.0050465935
0.029748246,0.018148107,0.024942344,0.008135099,0.019241378,0.0032358237,0.008172171,0.0050480408
0.029792072,0.01804647,0.024931366,0.008127293,0.01924219,0.0032900888,0.008166785,0.0050489157
0.029794587,0.018332137,0.024920754,0.008128967,0.019261261,0.0035231074,0.0081597725,0.005052684
0.029861443,0.017987613,0.02491204,0.008114509,0.019234335,0.003411899,0.00815817,0.0050508007
0.029849557,0.01823371,0.024903322,0.008117923,0.019258495,0.0036009902,0.008150978,0.0050538382
0.029888192,0.018111892,0.024897117,0.008109858,0.019240404,0.0035638642,0.008149729,0.0050531444
0.029893994,0.018065758,0.024892047,0.008107378,0.019239571,0.003558178,0.008146344,0.005053027
0.029889924,0.018200899,0.024888944,0.008108753,0.019241817,0.0036181284,0.0081440825,0.005053934
